#gene	differential_expression_T_test_p_value	4170686/tumor	4177987_tumor	4160468_tumor	4121361_tumor	4159170_tumor	4134005_tumor	4139696_tumor	4177601_tumor	4105105_tumor	4175837_tumor	4158726_tumor	4189200_tumor	4174905_tumor	4188900_tumor	normal_gcb_cells_SRR834985	normal_gcb_cells_SRR834984	normal_gcb_cells_SRR834986	normal_gcb_cells_SRR834983
DIS3L	5.602489836541987e-06	0.8802182867249023	0.7504509332066474	1.1251862198776355	1.0152526492326532	1.1150873487556974	1.4901814212570779	1.39915044225573	0.8727586474907361	1.3788321361760572	0.8873924176215744	1.1638891105133395	1.3274999749770626	1.28617304152572	1.6231834681338029	1.9073804048338805	1.8643869256273276	1.716666608004331	1.999937412842936
DKC1	9.000048706891671e-06	3.4241341856343084	3.6043219062287903	4.794401506316587	5.37620806024906	4.284547744101064	2.939435743511193	7.606075769866424	5.122036041530362	4.3012945531307745	5.443130052033738	3.583862290224982	4.439678291297477	4.2088278391134475	7.106405106126482	7.100690912281072	7.319955327048167	7.027222324130606	7.33856795439951
DKFZP667F0711	7.695442931510744e-06	0.412791165288314	0.4123196344175011	0.4535430802562666	0.7688044734389738	0.16331891329653558	0.5106870433517592	0.2517284920225976	0.3882307667115629	1.3138835986237671	0.16777641715015693	0.575466626677654	0.5128333526457202	0.659075139663199	0.8331450938642193	1.175150111673088	1.0698051302475589	1.3081541103481047	1.3101589571614314
DKFZP761J1410	3.019489564898364e-06	1.6151698721239356	1.2001911656662037	0.6977357637291772	0.8905991526114927	1.4499018821722838	0.8889113918330427	1.095780747405649	1.7295167236777595	0.967044612871653	1.10053462123466	2.200761533213444	1.170571814637477	0.9869873397954212	1.4041479857374541	0.46588667043026644	0.3970455328786713	0.4435958084229489	0.38071870451477785
DLGAP5	0.0036163404707899314	0.1234842057281652	0.23320001409352983	0.6291124886698394	0.25477585854750256	0.36252962433427516	0.3465524676779912	1.0190066846189867	0.23084308990680696	0.17097409160101026	0.20915679040064128	0.07338528393012825	0.1929970836446486	0.2492563066956602	0.42837412023067006	2.3227073179104702	2.357498906188346	1.8249926226779811	3.168809879734103
DLL1	3.6352507150583663e-06	2.3995216174929124	2.585213993760741	1.4861295062765034	1.9992988666160845	1.803215901881635	0.75585934174973	3.395197175414272	1.8888201277718575	1.4057884441096815	1.5586868037137864	3.300723688352927	1.5250297888465965	1.338122647228629	1.351802761507393	0.20743223777028938	0.3242623323346434	0.6420675461767575	0.23128917173790345
DLL4	1.966331544287972e-06	2.2653514776550367	2.700204892750465	3.147788601514115	2.3064341479781074	1.5500643568233923	0.5664543484485333	1.9553479701780856	3.7298809457383024	0.956663381473226	1.4309312866982569	2.121700848062036	1.1331346106019933	1.71338027859989	1.223912453513037	0.015383873208425646	0.013128460693911704	0.03486600266095621	0.013352482824294772
DLST	0.0004695808762775206	4.467744957545258	3.656373170197728	3.896307980063826	3.7652159498435904	4.556897145405852	3.489082167535674	5.806171494291487	4.420363341274367	3.9432347275322965	3.9849101147892916	4.496228627802717	4.120746235400049	3.942046277063029	4.333163699356175	7.0193309639618855	7.279939282223542	8.48753428656654	7.360222104037415
DMAP1	0.00011505486886970076	10.076124214840789	7.217099812224433	5.830255028749629	7.765211341166073	10.964499857787928	7.9002758837505205	4.627213020705433	6.986026630610239	11.772830613392241	6.160817258262894	12.306004806475194	9.89380715612711	6.276088747471204	7.938497863324721	11.842535758927605	11.140623398678011	11.74735106098932	11.974547467518049
DNA2	0.01074339993356756	0.16550763518934852	0.17255720476453862	0.2662034826903099	0.19350758356337114	0.3203448564257344	0.20630602137801662	0.9198418956664278	0.22260472985741847	0.17990528597662614	0.21967618548172163	0.151418037472141	0.21398401866271757	0.22531985462172097	0.2672471965587769	1.2395300329679513	0.7700833731245242	0.8746546224348514	1.4706790270411516
